TRUE,StyleCop.CSharp.SpacingRules,SA1000,KeywordsMustBeSpacedCorrectly,キーワード「{0}」の前後の空白が不正です。,予約語の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1001,CommasMustBeSpacedCorrectly,コンマの前後の空白が不正です。,コンマの前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1002,SemicolonsMustBeSpacedCorrectly,セミコロンの前後の空白が不正です。,セミコロンの前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1003,SymbolsMustBeSpacedCorrectly,「{0}」記号の前後の空白が不正です。,演算子記号の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1004,DocumentationLinesMustBeginWithSingleSpace,XMLヘッダ行は空白１つから始めてください。,ドキュメントの先頭のスラッシュの後に空白が１つあることを検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1005,SingleLineCommentsMustBeginWithSingleSpace,コメントの先頭には空白１を入れてください。このエラーを検出しないようにする場合は、コメントを「//」の変わりに「////」から始めてください。,コメントの前のスラッシュの後に空白が１つあることを検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1006,PreprocessorKeywordsMustNotBePrecededBySpace,プリプロセッサタイプキーワードは、空白で始めないでください。,プリプロセッサ文の左ハッシュ記号とキーワードの間に空白が無いことを検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1007,OperatorKeywordMustBeFollowedBySpace,演算子用のキーワードの後には空白が必要です。,演算子のオーバロードのキーワード「operator」と左演算子の間に空白が１つあることを検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1008,OpeningParenthesisMustBeSpacedCorrectly,左括弧の前後の空白が不正です。,左括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1009,ClosingParenthesisMustBeSpacedCorrectly,右括弧の前後の空白が不正です。,右括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1010,OpeningSquareBracketsMustBeSpacedCorrectly,左角括弧の前後の空白が不正です。,左角括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1011,ClosingSquareBracketsMustBeSpacedCorrectly,右角括弧の前後の空白が不正です。,右角括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1012,OpeningCurlyBracketsMustBeSpacedCorrectly,左中括弧の前後の空白が不正です。,左中括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1013,ClosingCurlyBracketsMustBeSpacedCorrectly,右中括弧の前後の空白が不正です。,右中括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1014,OpeningGenericBracketsMustBeSpacedCorrectly,ジェネリックタイプの左括弧の前後の空白が不正です。,ジェネリックタイプの左括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1015,ClosingGenericBracketsMustBeSpacedCorrectly,ジェネリックタイプの右括弧の前後の空白が不正です。,ジェネリックタイプの右括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1016,OpeningAttributeBracketsMustBeSpacedCorrectly,左の角括弧の前後の空白が不正です。,左の角括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1017,ClosingAttributeBracketsMustBeSpacedCorrectly,右の角括弧の前後の空白が不正です。,右の角括弧の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1018,NullableTypeSymbolsMustNotBePrecededBySpace,nullableタイプ記号は空白で始めないでください。,nullableタイプ記号の前に空白が無いことを検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1019,MemberAccessSymbolsMustBeSpacedCorrectly,メンバーアクセス記号の前後の空白が不正です。,メンバーアクセス記号の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1020,IncrementDecrementSymbolsMustBeSpacedCorrectly,インクリメント演算子及びデクリメント演算子の前後の空白が不正です。,インクリメント演算子及びデクリメント演算子の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1021,NegativeSignsMustBeSpacedCorrectly,負符号記号の前後の空白が不正です。,負符号記号の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1022,PositiveSignsMustBeSpacedCorrectly,正符号の前後の空白が不正です。,正符号の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1023,DereferenceAndAccessOfSymbolsMustBeSpacedCorrectly,デリファレンス及びアドレスオブ記号の前後の空白が不正です。,デリファレンス及びアドレスオブ記号の前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1024,ColonsMustBeSpacedCorrectly,コロン（「:」）の前後の空白が不正です。,コロンの前後の空白を検証する。
TRUE,StyleCop.CSharp.SpacingRules,SA1025,CodeMustNotContainMultipleWhitespaceInARow,連続した空白があります。一つに纏めてください。,連続した空白が無いことを検証する。
